,nri_id,stateabbrv,statefips,countyfips,county,population,buildvalue,agrivalue,area,risk_value,risk_score,risk_ratng,eal_score,eal_valt,eal_ratng,sovi_score,sovi_ratng,resl_score,resl_ratng,resl_value,crf_value,year
0,C01001,AL,01,001,Autauga,54571,5075584000.0,21460000.0,594.448312197,2602011.520830204,5.95875168066,Very Low,11.0778276926,3311627.0725,Relatively Low,25.8573117856,Relatively Low,55.5298,Relatively High,2.77649,0.785719969025952,2020
1,C01001,AL,01,001,Autauga,54571,5075584000.0,21460000.0,594.4483121966858,2087422.571669436,5.74877740065178,Very Low,10.687727334151413,2656700.419943749,Relatively Low,25.85731178557351,Relatively Low,55.5298,Relatively High,2.77649,0.785719969025952,2021
2,C01001,AL,01,001,Autauga,58764,9123273852.0,24613998.0,610.47050844,6156054.321904968,49.220489977728285,Relatively Low,50.94398019189106,5514046.887245093,Very Low,51.29999923706055,Relatively Moderate,51.810001373291016,Relatively Moderate,2.604995012283325,1.116431261428869,2023
3,C01001,AL,01,001,Autauga,58764,10241406107.0,27630646.0,610.47050844,20510899.445223816,57.56997455470738,Relatively Low,59.870049504950494,19756570.050850827,Relatively Low,38.04071247,Relatively Low,55.1208651399491,Relatively Moderate,2.494860417,1.038181192,2025
4,C01003,AL,01,003,Baldwin,182265,23142949000.0,120383000.0,1589.81585274,18341433.709805418,15.5581424403,Relatively Moderate,21.4983482966,18168582.4116,Relatively Moderate,34.2924714229,Relatively Low,54.759202,Relatively Moderate,2.7379601,1.0095137470986761,2020
5,C01003,AL,01,003,Baldwin,182265,23142949000.0,120383000.0,1589.815852738394,11904921.522966143,13.557904620457986,Relatively Moderate,18.73507867536624,11792728.48654183,Relatively Moderate,34.29247142294049,Relatively Low,54.759202,Relatively Moderate,2.7379601,1.0095137470986761,2021
6,C01003,AL,01,003,Baldwin,231365,45968484827.0,138089013.0,2047.7387747700002,210632685.03204638,97.70919503658925,Relatively High,98.23584029712164,202015117.82535577,Relatively High,31.030000686645508,Relatively Low,86.12000274658203,Very High,2.745074987411499,1.0426580312377443,2023
7,C01003,AL,01,003,Baldwin,231365,51602300760.0,155012958.0,2047.7387747700002,253268743.62569928,96.72391857506362,Relatively High,96.62747524752476,237391154.81483856,Relatively High,44.24300254,Relatively Moderate,93.00254452926208,Very High,2.643844358,1.066883658,2025
8,C01005,AL,01,005,Barbour,27457,2206426000.0,105565000.0,885.001635971,3329979.822952034,8.40836170662,Very Low,10.6545825687,3012916.10989,Relatively Low,34.6866377611,Relatively Low,50.781998,Relatively Low,2.5390999,1.1052348294800713,2020
9,C01005,AL,01,005,Barbour,27457,2206426000.0,105565000.0,885.0016359709122,3905696.1752160257,9.4196394570524,Relatively Low,11.935456843066328,3533815.684268073,Relatively Low,34.6866377611352,Relatively Low,50.781998,Relatively Low,2.5390999,1.1052348294800713,2021
10,C01005,AL,01,005,Barbour,25160,4847697294.0,121075758.0,913.6465111800001,7412839.61680404,56.188355074769326,Relatively Low,44.87774682760755,4715303.672074473,Very Low,99.2699966430664,Very High,6.239999771118164,Very Low,2.383568048477173,1.5720810646205527,2023
11,C01005,AL,01,005,Barbour,25160,5441822473.0,135914589.0,913.6465111800001,15998575.833403887,48.1234096692112,Relatively Low,30.538366336633665,8923878.02871533,Very Low,96.3740458,Very High,11.164122137404581,Very Low,2.328448651,1.792782889,2025
12,C01007,AL,01,007,Bibb,22915,1643641000.0,4199000.0,622.460425426,1564590.1802651796,4.42232397698,Very Low,9.23461715355,2142689.18953,Very Low,21.4820654316,Very Low,51.8076,Relatively Low,2.59038,0.7301993158458848,2020
13,C01007,AL,01,007,Bibb,22915,1643641000.0,4199000.0,622.4604254258261,1282439.44114247,4.34631394853192,Very Low,9.076045947659242,1756286.8292431275,Very Low,21.482065431612142,Very Low,51.8076,Relatively Low,2.59038,0.7301993158458848,2021
14,C01007,AL,01,007,Bibb,22239,3146946680.0,4819356.0,632.4867978000001,3863746.994426648,32.48488705058861,Very Low,30.485917672547195,3164980.64795442,Very Low,80.77999877929688,Very High,19.729999542236328,Very Low,2.471524953842163,1.2207806063281468,2023
15,C01007,AL,01,007,Bibb,22239,3532630882.0,5410008.0,632.4867978000001,12672466.906524258,39.12213740458015,Very Low,31.002475247524753,8993704.310008163,Very Low,75.25445293,Relatively High,22.169211195928753,Relatively Low,2.383784337,1.40903753,2025
16,C01009,AL,01,009,Blount,57322,4794278000.0,242855000.0,644.821021595,4141448.656626228,8.11081257178,Very Low,12.6035439635,4551372.90682,Relatively Low,29.7201418999,Relatively Low,53.3574,Relatively Moderate,2.66787,0.9099339345322547,2020
17,C01009,AL,01,009,Blount,57322,4794278000.0,242855000.0,644.8210215954298,5418308.436632994,9.362944865505217,Relatively Low,14.548374656871156,5954617.396941283,Relatively Low,29.720141899881753,Relatively Low,53.357400000000005,Relatively Moderate,2.66787,0.9099339345322547,2021
18,C01009,AL,01,009,Blount,58992,7815620481.0,278570859.0,657.1965546900001,10238536.29147353,65.12885777919185,Relatively Low,63.63354998452492,8509278.926663205,Relatively Low,51.369998931884766,Relatively Moderate,22.81999969482422,Relatively Low,2.48838210105896,1.2032201999386603,2023
19,C01009,AL,01,009,Blount,58992,8773489059.0,312712010.0,657.1965546900001,28705360.233473726,68.4796437659033,Relatively Low,62.34529702970298,21294673.675460633,Relatively Low,69.33842239,Relatively High,15.648854961832063,Very Low,2.354619153,1.34800658,2025
20,C01011,AL,01,011,Bullock,10914,752991000.0,0.0,622.805370883,1217326.2121276497,5.6882130337,Very Low,6.47266021047,962908.344063,Very Low,37.8793851005,Relatively Moderate,49.7898,Very Low,2.48949,1.2642181570378042,2020
21,C01011,AL,01,011,Bullock,10914,752991000.0,0.0,622.8053708831358,963581.8585212004,5.650481915009467,Very Low,6.4297634222515,762195.8703543491,Very Low,37.87938510051242,Relatively Moderate,49.7898,Very Low,2.48949,1.2642181570378042,2021
22,C01011,AL,01,011,Bullock,10326,1578438328.0,77099940.0,631.45451226,3861867.6330396095,32.45307031498568,Very Low,27.112349117920147,2819556.185555831,Very Low,83.0999984741211,Very High,17.979999542236328,Very Low,2.4630401134490967,1.3696721678480415,2023
23,C01011,AL,01,011,Bullock,10326,1771888929.0,86549172.0,631.45451226,8886364.11215195,25.254452926208653,Very Low,13.551980198019804,5129262.282005452,Very Low,97.55089059,Very High,33.14249363867685,Relatively Low,2.422162621,1.732483859,2025
24,C01013,AL,01,013,Butler,20947,1750615000.0,132029000.0,776.831609305,5765549.06500379,12.5297758471,Relatively Low,11.486251544,3617997.05361,Relatively Low,49.9408750493,Relatively High,52.902598,Relatively Low,2.6451299,1.5935748370085003,2020
25,C01013,AL,01,013,Butler,20947,1750615000.0,132029000.0,776.8316093047157,6557653.1388853025,13.801388325542518,Relatively Moderate,12.651619997643632,4115058.1614325047,Relatively Low,49.94087504927079,Relatively High,52.902598,Relatively Low,2.6451299,1.5935748370085003,2021
26,C01013,AL,01,013,Butler,19015,3448344299.0,151442073.0,785.73446055,6978410.734334171,54.05663378937321,Relatively Low,51.34633240482822,5600245.762838086,Very Low,68.43000030517578,Relatively High,39.59000015258789,Relatively Low,2.5565080642700195,1.2460900878031573,2023
27,C01013,AL,01,013,Butler,19015,3870967258.0,170002545.0,785.73446055,14894617.686379014,45.16539440203562,Relatively Low,32.42574257425743,9390470.558299657,Very Low,91.76208651,Very High,50.031806615776084,Relatively Moderate,2.477503937,1.58614178,2025
28,C01015,AL,01,015,Calhoun,118572,11487148000.0,86807000.0,605.888277004,12068991.815773034,14.1926774693,Relatively Low,17.5723454995,10648263.1296,Relatively Moderate,38.3918013402,Relatively Moderate,54.9294,Relatively Moderate,2.74647,1.1334235141338402,2020
29,C01015,AL,01,015,Calhoun,118572,11487148000.0,86807000.0,605.8882770039564,17255686.609886628,16.60768730650263,Relatively Moderate,20.56165993233635,15224394.407480936,Relatively Moderate,38.39180134016555,Relatively Moderate,54.9294,Relatively Moderate,2.74647,1.1334235141338402,2021
30,C01015,AL,01,015,Calhoun,116250,22691498699.0,99562754.0,618.45514341,26233823.90671147,84.37798281896278,Relatively Moderate,82.72980501392759,21605794.92323623,Relatively Low,73.48999786376953,Relatively High,46.720001220703125,Relatively Moderate,2.585793972015381,1.214203133923944,2023
31,C01015,AL,01,015,Calhoun,116250,25472528515.0,111764989.0,618.45514341,77751603.90155573,88.45419847328245,Relatively Moderate,84.77722772277228,53781399.85017145,Relatively Moderate,81.48854962,Very High,48.44147582697201,Relatively Moderate,2.471326509,1.445696916,2025
32,C01017,AL,01,017,Chambers,34215,3180368000.0,9059000.0,596.531112022,3789365.5122259133,9.61343756353,Relatively Low,10.2979392705,2775616.44518,Very Low,43.1217973985,Relatively Moderate,53.372202,Relatively Moderate,2.6686101,1.3652338451900805,2020
